Nr.,Operatorët  Ajrorë  ,Janar ,Shkurt ,Mars ,Prill,Maj ,Qershor ,Korrik,Gusht,Shtator,Tetor,Nentor,Dhjetor,TOTAL,Total në % 
1,Wizz Air (Group),"445,391","396,177","452,421","506,323","541,483","568,979","596,941","678,497","601,198","596,688","450,152","489,355","6,323,605",54.33%
2,Ryanair (Group),"156,851","147,258","181,297","236,121","248,640","246,368","242,470","264,993","228,286","236,304","186,325","186,683","2,561,596",22.01%
3,Lufthansa,"13,674","12,063","16,891","18,929","33,399","39,017","42,099","44,433","40,956","35,765","17,020","18,670","332,916",2.86%
4,Pegasus Airlines,"19,156","18,020","19,307","20,958","23,765","28,922","29,234","30,465","28,253","26,889","25,120","25,887","295,976",2.54%
5,Air Albania,"15,065","15,670","24,330","21,519","24,219","29,362","38,258","43,195","29,026","16,830","12,621",905,"271,000",2.33%
6,Austrian Airlines,"11,524","9,007","13,938","23,306","23,951","25,264","27,789","27,963","26,425","23,321","16,203","16,338","245,029",2.11%
7,Aegean Airlines,"15,644","14,260","17,749","17,243","16,525","23,204","26,628","26,928","25,090","20,421","21,069","20,642","245,403",2.11%
8,Transavia (TO) (Group),"1,525","1,588","2,183","9,503","13,018","13,145","23,604","31,835","17,913","11,703",475,0,"126,492",1.09%
9,British Airways,"4,796","4,431","5,314","7,427","7,732","7,730","15,296","16,366","9,883","8,482","6,358","5,262","99,077",0.85%
10,Lot Polish,"1,471","1,499","1,881","3,629","5,427","16,251","18,520","20,541","14,813","3,879","2,042","1,681","91,634",0.79%
11,Eurowings,"2,129",954,"2,456","5,896","8,224","9,800","12,493","16,942","10,924","8,391",219,"4,475","82,903",0.71%
12,Air Serbia,"3,124","3,203","3,380","3,968","5,114","6,633","7,520","8,286","7,496","6,436","4,729","4,976","64,865",0.56%
13,ITA,0,0,459,"5,960","7,898","9,000","13,696","13,838","9,317","4,728",0,0,"64,896",0.56%
14,Swiss Air,"3,111","2,483","3,305","4,438","4,708","4,907","9,064","9,901","5,780","5,105","3,509","4,120","60,431",0.52%
15,FlyDubai,"3,293","3,042","3,282","4,819","3,178","4,011","4,466","5,405","4,981","5,515","4,938","5,193","52,123",0.45%
16,Sky Express,"1,819","1,934","1,725","2,464","3,107","3,298","2,991","3,249","2,678","2,707","3,814","4,002","33,788",0.29%
17,Easy Jet,0,0,289,"4,082","4,049","5,093","8,408","8,369","4,183","3,826","2,600","2,684","43,583",0.37%
18,Sun Express,0,0,0,0,"2,700","10,250","12,790","13,949","9,572",654,2,0,"49,917",0.43%
19,El Al Israel,0,0,0,"3,869","4,469","1,391","7,125","8,215","5,637","6,575","2,436","2,578","42,295",0.36%
20,Israir,0,0,179,"1,398","3,713","3,311","8,908","9,983","8,395","6,966","1,931",73,"44,857",0.39%
21,Norwegian,0,0,0,0,"2,957","5,254","7,847","6,334","5,769","3,611",0,0,"31,772",0.27%
22,Air Baltic,0,0,0,0,173,"5,934","6,989","7,435","6,866","1,708",0,0,"29,105",0.25%
23,Tui Fly(group),0,0,0,"1,724","2,176","2,216","3,691","5,551","3,761","2,123",0,0,"21,242",0.18%
24,Iberia,0,0,0,0,,"2,651","4,168","4,255","3,496",0,0,0,"14,570",0.13%
26,Smartwings,0,0,0,192,"2,013","36,487","43,489","43,613",,"1,011",0,0,"126,805",1.09%
27,Flynas,0,0,0,0,0,"1,249","4,061","4,213","3,801",0,0,0,"13,324",0.11%
28,Croatia Airlines,0,0,0,0,61,514,"1,326","2,879",939,419,0,0,"6,138",0.05%
29,Scandiavian Ailines,0,0,0,0,0,444,0,0,0,0,0,0,444,0.00%
30,Air France,0,0,0,0,0,0,"2,086","2,656",0,0,0,0,"4,742",0.04%
31,Sas,0,0,0,0,0,0,"4,633","2,392",0,0,0,0,"7,025",0.06%
32,Vueling,0,0,0,0,0,0,"5,538","5,953","5,260","4,150","3,410","2,947","27,258",0.23%
33,Ajet,0,0,0,0,0,0,"2,119","4,290",0,,0,0,"6,409",0.06%
34,Arkia Israel Inland,0,0,0,0,0,0,"2,523","4,503",0,"2,320",199,0,"9,545",0.08%
35,Enter Air,0,0,0,0,0,0,"4,447","5,234",0,195,0,0,"9,876",0.08%
36,Ryanair Sun,0,0,0,0,0,0,"15,107",0,0,0,0,0,"15,107",0.13%
37,Air Montenegro,0,0,0,0,0,0,"2,223","1,732",0,0,0,107,"4,062",0.03%
38,Electra Airways,0,0,0,0,0,0,"5,096","5,039",0,0,0,0,"10,135",0.09%
39,Air Cairo,0,0,0,0,0,0,"1,629","1,219",0,0,0,146,"2,994",0.03%
40,Corendon Airlines,0,0,0,0,0,0,"7,509","7,835",0,0,0,0,"15,344",0.13%
41,Jordan Aviation,0,0,0,0,0,0,317,198,0,0,0,0,515,0.00%
42,Freebird,0,0,0,0,0,0,"4,438","4,805",0,0,0,0,"9,243",0.08%
43,Privilege Style,0,0,0,0,0,0,"2,003","1,689",0,0,0,0,"3,692",0.03%
44,Turkish Arlines,0,0,0,0,0,0,"3,538","4,449",0,0,0,0,"7,987",0.07%
45,Vision Air,0,0,0,0,0,0,"1,832","1,779",0,0,0,0,"3,611",0.03%
46,Sky Up,0,0,0,0,0,0,452,867,0,0,0,0,"1,319",0.01%
47,Bulgaria Air,0,0,0,0,0,0,0,0,0,"1,002",0,0,"1,002",0.01%
48,Evrojet,0,0,0,0,0,0,0,0,0,0,0,220,220,0.00%
49,Titan Airways,0,0,0,0,0,0,0,0,0,0,0,43,43,0.00%
50,Jetairfly,0,0,0,0,0,0,0,0,0,0,0,2,2,0.00%
51,Eurojet,0,0,0,0,0,0,0,0,0,0,0,134,134,0.00%
52,Shuma,"698,573","631,589","750,386","903,768","992,699","1,110,685","1,285,361","1,412,273","1,120,698","1,047,724","765,172","797,123","11,516,051",98.93%
53,CHARTER,928,725,849,"1,163","6,989","37,181","1,153",791,"72,485",982,718,29,"123,993",1.07%
,TOTAL,"699,501","632,314","751,235","904,931","999,688","1,147,866","1,286,514","1,413,064","1,193,183","1,048,706","765,890","797,152","11,640,044",100%
